Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,%,Age-adjusted prevalence,4.8,4.2,5.6,"31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,SHUTUTILITY,AgeAdjPrv,Utility Services Threat
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,%,Crude prevalence,4.5,3.9,5.2,"31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,SHUTUTILITY,CrdPrv,Utility Services Threat
2018,NC,North Carolina,Davidson,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,89.3,88.2,90.3,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,24.3,23.5,25.1,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,OBESITY,AgeAdjPrv,Obesity
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,4.7,4.2,5.2,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,COPD,AgeAdjPrv,COPD
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.2,2.1,2.3,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2019,NC,North Carolina,Davidson,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,8.7,8,9.4,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2019,NC,North Carolina,Davidson,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,12.6,11.2,14.4,"11,040",POINT (-80.84681225 35.50068414),3716400,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking
2018,NC,North Carolina,Davidson,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,77.5,75.6,79.2,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,DENTAL,AgeAdjPrv,Dental Visit
2018,NC,North Carolina,Davidson,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,30.7,29.7,31.7,"11,040",POINT (-80.84681225 35.50068414),3716400,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours
2019,NC,North Carolina,Davidson,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,77,76.2,77.7,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2019,NC,North Carolina,Davidson,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,10.9,9.3,13.1,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,ACCESS2,CrdPrv,Health Insurance
2019,NC,North Carolina,Davidson,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,71.5,70.6,72.5,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,BPMED,CrdPrv,Taking BP Medication
2018,NC,North Carolina,Davidson,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,7.9,5.6,11,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost
2018,NC,North Carolina,Davidson,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,7.9,5.5,10.9,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,20.1,19.5,20.8,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2019,NC,North Carolina,Davidson,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,19.9,19.4,20.5,"11,040",POINT (-80.84681225 35.50068414),3716400,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,8.2,8,8.6,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma
2019,NC,North Carolina,Davidson,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,16.7,15.5,18.1,"11,040",POINT (-80.84681225 35.50068414),3716400,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity
2018,NC,North Carolina,Davidson,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,72.9,70.9,74.6,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,4.4,4.2,4.7,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease
2018,NC,North Carolina,Davidson,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,79.7,77.7,81.5,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,MAMMOUSE,CrdPrv,Mammography
2019,NC,North Carolina,Davidson,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,11.4,10.4,12.5,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHSTAT,GHLTH,AgeAdjPrv,General Health
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,23.3,22.5,24.2,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,OBESITY,CrdPrv,Obesity
2018,NC,North Carolina,Davidson,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,88.3,86.8,89.6,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,22.3,21.5,23.2,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression
2019,NC,North Carolina,Davidson,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,8.8,8.2,9.4,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health
2019,NC,North Carolina,Davidson,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,11.2,10.1,12.4,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHSTAT,GHLTH,CrdPrv,General Health
2018,NC,North Carolina,Davidson,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,78.1,76,80,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,7.1,6.7,7.5,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,DIABETES,CrdPrv,Diabetes
2019,NC,North Carolina,Davidson,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,87.5,86,88.7,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.6,6.3,6.8,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2019,NC,North Carolina,Davidson,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,11.8,10.4,13.6,"11,040",POINT (-80.84681225 35.50068414),3716400,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2019,NC,North Carolina,Davidson,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,12.4,11.2,13.6,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,4.7,4.2,5.2,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,COPD,CrdPrv,COPD
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,29.7,29.2,30.4,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2018,NC,North Carolina,Davidson,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,47.1,42.6,51.2,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.5,8.1,8.9,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2019,NC,North Carolina,Davidson,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,20.1,19.4,20.7,"11,040",POINT (-80.84681225 35.50068414),3716400,RISKBEH,BINGE,CrdPrv,Binge Drinking
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,7.2,6.8,7.6,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,25.7,25,26.4,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,2.4,2.2,2.6,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,STROKE,AgeAdjPrv,Stroke
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.3,2.1,2.5,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,STROKE,CrdPrv,Stroke
2019,NC,North Carolina,Davidson,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,54.3,53.6,55,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,28.8,28.3,29.3,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,20.6,20,21.3,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis
2018,NC,North Carolina,Davidson,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,30.1,28.8,31.3,"11,040",POINT (-80.84681225 35.50068414),3716400,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2019,NC,North Carolina,Davidson,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,76.8,76.2,77.4,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup
2018,NC,North Carolina,Davidson,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,46.9,42.4,51,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,COREM,CrdPrv,Core preventive services for older men
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,26.3,25.6,27,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.8,6.6,7,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin)
2018,NC,North Carolina,Davidson,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,73.3,71.3,75,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.3,2.2,2.4,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease
2019,NC,North Carolina,Davidson,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,88.4,87.5,89.2,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,4.4,4.1,4.7,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2018,NC,North Carolina,Davidson,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,42,37.6,46.2,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,COREW,CrdPrv,Core preventive services for older women
2019,NC,North Carolina,Davidson,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,11.2,9.9,12.6,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance
2019,NC,North Carolina,Davidson,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,12,11.1,12.9,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health
2018,NC,North Carolina,Davidson,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,78.1,75.7,80.1,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,DENTAL,CrdPrv,Dental Visit
2019,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,22.6,21.6,23.7,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,DEPRESSION,CrdPrv,Depression
2019,NC,North Carolina,Davidson,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,16.4,15,18,"11,040",POINT (-80.84681225 35.50068414),3716400,RISKBEH,LPA,CrdPrv,Physical Inactivity
2018,NC,North Carolina,Davidson,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,43.3,39,47.3,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women
2021,NC,North Carolina,Davidson,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,9,7.7,10.3,"11,040",POINT (-80.84681225 35.50068414),3716400,DISABLT,MOBILITY,CrdPrv,Mobility Disability
2021,NC,North Carolina,Davidson,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,8.9,7.7,10.2,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHSTAT,GHLTH,AgeAdjPrv,General Health
2020,NC,North Carolina,Davidson,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,53.8,49.4,58,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women
2020,NC,North Carolina,Davidson,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,58.7,54,63.4,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men
2020,NC,North Carolina,Davidson,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,87.1,85.7,88.5,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2020,NC,North Carolina,Davidson,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,27.5,26.6,28.5,"11,040",POINT (-80.84681225 35.50068414),3716400,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,29.3,25.2,34,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,OBESITY,AgeAdjPrv,Obesity
2021,NC,North Carolina,Davidson,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,10,8.4,12,"11,040",POINT (-80.84681225 35.50068414),3716400,DISABLT,COGNITION,CrdPrv,Cognitive Disability
2020,NC,North Carolina,Davidson,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,80.6,78.5,82.4,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,MAMMOUSE,CrdPrv,Mammography
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,7.7,6.7,8.9,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.4,5.9,7,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin)
2021,NC,North Carolina,Davidson,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,13.9,11.8,15.9,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2021,NC,North Carolina,Davidson,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,10,8.3,12,"11,040",POINT (-80.84681225 35.50068414),3716400,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,2.2,2,2.5,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,STROKE,AgeAdjPrv,Stroke
2021,NC,North Carolina,Davidson,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,7.3,6.1,9,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,4.3,3.8,4.8,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2021,NC,North Carolina,Davidson,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,2.2,2,2.5,"11,040",POINT (-80.84681225 35.50068414),3716400,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability
2021,NC,North Carolina,Davidson,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,5.6,5,6.4,"11,040",POINT (-80.84681225 35.50068414),3716400,DISABLT,HEARING,CrdPrv,Hearing Disability
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,30.7,27.3,34.4,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol
2021,NC,North Carolina,Davidson,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,14.6,12,17.2,"11,040",POINT (-80.84681225 35.50068414),3716400,RISKBEH,LPA,CrdPrv,Physical Inactivity
2020,NC,North Carolina,Davidson,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,77.1,75.5,78.4,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening
2021,NC,North Carolina,Davidson,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,13.3,11.7,15.2,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health
2021,NC,North Carolina,Davidson,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,8.8,7.5,10.3,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHSTAT,GHLTH,CrdPrv,General Health
2020,NC,North Carolina,Davidson,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,88.2,87,89.3,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening
2020,NC,North Carolina,Davidson,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,74.6,72.7,76.5,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,DENTAL,AgeAdjPrv,Dental Visit
2021,NC,North Carolina,Davidson,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,75.6,72,79.1,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2020,NC,North Carolina,Davidson,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,52.2,47.6,56.9,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,COREW,CrdPrv,Core preventive services for older women
2020,NC,North Carolina,Davidson,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,58.6,53.9,63,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,COREM,CrdPrv,Core preventive services for older men
2021,NC,North Carolina,Davidson,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,9.2,7.9,10.6,"11,040",POINT (-80.84681225 35.50068414),3716400,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability
2021,NC,North Carolina,Davidson,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,22.4,19.4,25.8,"11,040",POINT (-80.84681225 35.50068414),3716400,DISABLT,DISABILITY,CrdPrv,Any Disability
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,8.9,7.9,10,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma
2021,NC,North Carolina,Davidson,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,5.8,5.1,6.4,"11,040",POINT (-80.84681225 35.50068414),3716400,DISABLT,HEARING,AgeAdjPrv,Hearing Disability
2021,NC,North Carolina,Davidson,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,7.8,6.7,8.9,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2021,NC,North Carolina,Davidson,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,3,2.6,3.4,"11,040",POINT (-80.84681225 35.50068414),3716400,DISABLT,VISION,CrdPrv,Vision Disability
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.3,2.2,2.6,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,25.6,22.8,28.6,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure
2020,NC,North Carolina,Davidson,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,7.7,5.5,10.7,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,20.7,18.2,23.4,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis
2021,NC,North Carolina,Davidson,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,5.2,4.4,6.1,"11,040",POINT (-80.84681225 35.50068414),3716400,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
2021,NC,North Carolina,Davidson,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,86.2,83.6,88.5,"11,040",POINT (-80.84681225 35.50068414),3716400,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2021,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,21.6,18.8,24.8,"11,040",POINT (-80.84681225 35.50068414),3716400,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression
