Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2018,NC,North Carolina,Cornelius,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,43.8,40.7,46.8,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,COREW,CrdPrv,Core preventive services for older women
2019,NC,North Carolina,Cornelius,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,11.9,11,13,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance
2019,NC,North Carolina,Cornelius,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,11.8,10.9,12.9,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,ACCESS2,CrdPrv,Health Insurance
2018,NC,North Carolina,Cornelius,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,80,78.4,81.5,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,MAMMOUSE,CrdPrv,Mammography
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,4.5,4.2,4.7,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,26.4,25.9,27,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure
2019,NC,North Carolina,Cornelius,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,12.1,11.5,12.7,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health
2019,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,20.5,20.1,20.8,"25,000",POINT (-80.8847801 35.47288109),3714700,RISKBEH,BINGE,CrdPrv,Binge Drinking
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,4.8,4.4,5.2,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,COPD,CrdPrv,COPD
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,2.4,2.2,2.5,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,STROKE,AgeAdjPrv,Stroke
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,4.8,4.4,5.2,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,COPD,AgeAdjPrv,COPD
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,4.1,3.9,4.3,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2018,NC,North Carolina,Cornelius,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,89.5,88.8,90.2,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2019,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,17,16.1,18.1,"25,000",POINT (-80.8847801 35.47288109),3714700,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity
2019,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,22.4,21.8,23,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression
